signalname,first_month,missing_count_raw,missing_count_after_filter
AM,1969-12,0,0
AOP,1976-07,79,0
AbnormalAccruals,1972-07,31,0
Accruals,1969-12,0,0
AdExp,1969-12,0,0
AgeIPO,1980-12,133,0
AnalystRevision,1976-03,75,0
AnalystValue,1976-07,79,0
AnnouncementReturn,1971-09,21,0
AssetGrowth,1969-12,0,0
BM,1969-12,0,0
BMdec,1969-12,0,0
BPEBM,1969-12,0,0
Beta,1969-12,0,0
BetaFP,1969-12,0,0
BetaLiquidityPS,1969-12,0,0
BetaTailRisk,1969-12,0,0
BidAskSpread,1969-12,0,0
BookLeverage,1969-12,0,0
BrandInvest,1969-12,0,0
CBOperProf,1969-12,0,0
CF,1969-12,0,0
Cash,1971-10,22,0
CashProd,1969-12,0,0
ChAssetTurnover,1969-12,0,0
ChEQ,1969-12,0,0
ChInv,1969-12,0,0
ChInvIA,1969-12,0,0
ChNNCOA,1969-12,0,0
ChNWC,1969-12,0,0
ChTax,1969-12,0,0
CompEquIss,1969-12,0,0
CompositeDebtIssuance,1969-12,0,0
CoskewACX,1969-12,0,0
Coskewness,1969-12,0,0
CustomerMomentum,1977-07,91,0
DelBreadth,1980-07,127,0
DelCOA,1969-12,0,0
DelCOL,1969-12,0,0
DelEqu,1969-12,0,0
DelFINL,1969-12,0,0
DelLTI,1969-12,0,0
DelNetFin,1969-12,0,0
DolVol,1969-12,0,0
EBM,1969-12,0,0
EP,1969-12,0,0
EarnSupBig,1969-12,0,0
EarningsConsistency,1969-12,0,0
EarningsForecastDisparity,1982-01,145,0
EarningsStreak,1984-11,179,0
EarningsSurprise,1969-12,0,0
EntMult,1969-12,0,0
EquityDuration,1969-12,0,0
ExclExp,1983-07,173,0
FEPS,1976-02,74,0
FR,1981-07,139,0
FirmAge,1969-12,0,0
FirmAgeMom,1969-12,4,0
ForecastDispersion,1976-02,74,0
Frontier,1969-12,0,0
GP,1969-12,0,0
GrAdExp,1969-12,0,0
GrLTNOA,1969-12,0,0
GrSaleToGrInv,1969-12,0,0
GrSaleToGrOverhead,1969-12,0,0
Herf,1969-12,0,0
HerfAsset,1969-12,0,0
HerfBE,1969-12,0,0
High52,1969-12,0,0
IO_ShortInterest,1979-10,118,0
IdioVol3F,1969-12,0,0
IdioVolAHT,1969-12,0,0
Illiquidity,1969-12,0,0
IndMom,1969-12,0,0
IndRetBig,1969-12,0,0
IntMom,1969-12,0,0
IntanBM,1969-12,0,0
IntanCFP,1969-12,0,0
IntanEP,1969-12,0,0
IntanSP,1969-12,0,0
InvGrowth,1969-12,0,0
InvestPPEInv,1969-12,0,0
Investment,1969-12,0,0
LRreversal,1969-12,0,0
Leverage,1969-12,0,0
MRreversal,1969-12,0,0
MaxRet,1969-12,0,0
MeanRankRevGrowth,1969-12,0,0
Mom12m,1969-12,0,0
Mom12mOffSeason,1969-12,0,0
Mom6m,1969-12,0,0
Mom6mJunk,1970-03,3,0
MomOffSeason,1969-12,0,0
MomOffSeason06YrPlus,1969-12,0,0
MomOffSeason11YrPlus,1969-12,0,0
MomOffSeason16YrPlus,1969-12,0,0
MomSeason,1969-12,0,0
MomSeason06YrPlus,1969-12,0,0
MomSeason11YrPlus,1969-12,0,0
MomSeason16YrPlus,1969-12,0,0
MomSeasonShort,1969-12,0,0
NOA,1969-12,0,0
NetDebtFinance,1972-07,31,0
NetDebtPrice,1969-12,0,0
NetEquityFinance,1972-07,31,0
NetPayoutYield,1969-12,0,0
NumEarnIncrease,1969-12,0,0
OPLeverage,1969-12,0,0
OperProf,1969-12,0,0
OperProfRD,1969-12,0,0
OrderBacklog,1971-07,19,0
OrderBacklogChg,1972-07,31,0
OrgCap,1969-12,0,0
PS,1972-01,25,0
PayoutYield,1969-12,0,0
PctAcc,1969-12,0,0
PredictedFE,1983-07,163,0
Price,1969-12,0,0
PriceDelayRsq,1969-12,4,0
PriceDelaySlope,1969-12,4,0
PriceDelayTstat,1969-12,4,0
RD,1969-12,0,0
RDAbility,1969-12,0,0
RDS,1973-07,43,0
RDcap,1980-07,127,0
REV6,1976-09,81,0
RealizedVol,1969-12,0,0
ResidualMomentum,1969-12,0,0
ReturnSkew,1969-12,0,0
ReturnSkew3F,1969-12,0,0
RevenueSurprise,1969-12,0,0
RoE,1969-12,0,0
SP,1969-12,0,0
STreversal,1969-12,0,0
ShareIss1Y,1969-12,0,0
ShareIss5Y,1969-12,0,0
ShortInterest,1973-02,38,0
Size,1969-12,0,0
Tax,1969-12,0,0
TotalAccruals,1969-12,0,0
TrendFactor,1969-12,0,0
VarCF,1969-12,0,0
VolMkt,1969-12,0,0
VolSD,1969-12,0,0
VolumeTrend,1969-12,0,0
XFIN,1972-07,31,0
cfp,1969-12,0,0
dNoa,1969-12,0,0
fgr5yrLag,1982-07,151,0
grcapx,1969-12,0,0
grcapx3y,1969-12,0,0
hire,1969-12,0,0
realestate,1970-07,7,0
retConglomerate,1976-02,74,0
roaq,1969-12,0,0
sfe,1977-04,88,0
std_turn,1969-12,0,0
tang,1969-12,0,0
zerotrade12M,1969-12,0,0
zerotrade1M,1969-12,0,0
zerotrade6M,1969-12,0,0
